protein_id	gene_names	peptides	intensity
P68871	HBB	16	3107800000
P63261	ACTG1	23	1216900000
P02751	FN1	69	900360000
P08123	COL1A2	17	877580000
P12111	COL6A3	98	871990000
P62805	HIST1H4A	12	795340000
P08670	VIM	43	692850000
P21333	FLNA	108	507920000
Q99879	HIST1H2BM	8	488250000
O75369	FLNB	99	352080000
P68431	HIST1H3A	4	279050000
P02679	FGG	20	277250000
O43707	ACTN4	49	259080000
P08727	KRT19	30	228180000
P02675	FGB	25	218720000
P63104	YWHAZ	16	215790000
P04075	ALDOA	24	214770000
Q99715	COL12A1	88	206490000
Q15149	PLEC	143	191380000
P62736	ACTA2	21	190480000
O95198	KLHL2	1	186580000
P35555	FBN1	56	186190000
Q01995	TAGLN	18	182690000
P12109	COL6A1	23	180620000
P23528	CFL1	11	163780000
Q15063	POSTN	31	163750000
Q06830	PRDX1	19	158240000
P02545	LMNA	32	141990000
P10412	HIST1H1E	10	140310000
P10809	HSPD1	30	130820000
P04083	ANXA1	25	119320000
P00558	PGK1	20	116780000
P07437	TUBB	24	112180000
P12110	COL6A2	20	108210000
P06576	ATP5B	16	106530000
Q05707	COL14A1	50	104850000
P06733	ENO1	22	104100000
P07237	P4HB	25	102880000
P30101	PDIA3	28	101810000
P27797	CALR	15	95501000
P25705	ATP5A1	24	93702000
P13796	LCP1	30	85708000
Q9UI42	CPA4	1	84681000
P40926	MDH2	16	83428000
P21810	BGN	13	81655000
P02461	COL3A1	2	76280000
P11142	HSPA8	24	76163000
P37802	TAGLN2	13	72399000
Q00610	CLTC	50	71667000
P02042	HBD	14	65888000
P61978	HNRNPK	12	64219000
P61604	HSPE1	6	64123000
P12814	ACTN1	47	60401000
Q9Y490	TLN1	56	60261000
P98160	HSPG2	53	59872000
Q04917	YWHAH	13	59565000
P18206	VCL	38	59053000
Q15084	PDIA6	15	57102000
P04080	CSTB	4	56555000
P00738	HP	19	56463000
P07585	DCN	14	56107000
P21796	VDAC1	11	55089000
P04792	HSPB1	9	49974000
O00299	CLIC1	13	49453000
P01023	A2M	30	49214000
P22314	UBA1	22	48511000
P62979	RPS27A	6	48507000
P24821	TNC	18	47880000
P13639	EEF2	28	47458000
P50454	SERPINH1	18	47382000
P09382	LGALS1	7	47290000
O95994	AGR2	7	47017000
P05141	SLC25A5	11	45340000
P17931	LGALS3	9	45158000
P30041	PRDX6	15	45140000
P27824	CANX	13	44735000
P05387	RPLP2	6	44719000
Q8NBS9	TXNDC5	14	44184000
P13667	PDIA4	25	41669000
P08865	RPSA	12	39692000
P23381	WARS	18	39585000
P23284	PPIB	8	39531000
P06744	GPI	11	38838000
Q07065	CKAP4	29	38391000
Q15582	TGFBI	19	37164000
P15927	RPA2	2	36851000
P38646	HSPA9	14	35421000
P29692	EEF1D	6	35136000
P50395	GDI2	19	34672000
P26038	MSN	17	33673000
Q14103	HNRNPD	9	33645000
Q15365	PCBP1	8	33623000
O15355	PPM1G	1	31730000
P02788	LTF	28	30941000
P04843	RPN1	17	30700000
P32119	PRDX2	14	30114000
Q99497	PARK7	6	30089000
P26641	EEF1G	12	29762000
P62241	RPS8	10	29295000
P08311	CTSG	8	27789000
P60842	EIF4A1	12	27448000
P62258	YWHAE	11	27305000
P13611	VCAN	15	27018000
P42224	STAT1	22	26595000
P36578	RPL4	16	26471000
P35232	PHB	9	26347000
P36952	SERPINB5	11	26149000
P46940	IQGAP1	37	26107000
P01011	SERPINA3	8	25803000
Q06323	PSME1	11	25330000
P07339	CTSD	12	24647000
O75367	H2AFY	11	23688000
P16401	HIST1H1B	7	22975000
P78371	CCT2	15	22681000
P07858	CTSB	6	21967000
Q12805	EFEMP1	9	21909000
Q14697	GANAB	16	21875000
P63244	GNB2L1	12	21726000
Q00839	HNRNPU	17	21162000
Q86VP6	CAND1	22	20464000
P50991	CCT4	17	19356000
P05164	MPO	18	19319000
Q13813	SPTAN1	42	19047000
Q15366	PCBP2	5	18796000
P45880	VDAC2	9	18426000
Q02878	RPL6	9	18392000
P62424	RPL7A	9	18290000
P00918	CA2	10	17997000
P52272	HNRNPM	16	17848000
P50990	CCT8	18	17767000
P61769	B2M	4	17572000
Q9UL46	PSME2	11	17531000
P21291	CSRP1	8	17424000
P59998	ARPC4	5	17378000
P30086	PEBP1	8	17322000
P37837	TALDO1	8	17296000
Q07020	RPL18	5	17101000
P61626	LYZ	4	17076000
P09651	HNRNPA1	12	17063000
P39019	RPS19	8	17021000
P40925	MDH1	8	16964000
Q9Y6C2	EMILIN1	22	16741000
P31946	YWHAB	10	16571000
P78417	GSTO1	7	16371000
P26599	PTBP1	8	16286000
P19338	NCL	16	16028000
P98095	FBLN2	11	15952000
O75390	CS	7	15931000
P62701	RPS4X	13	15729000
Q96AG4	LRRC59	7	15689000
P05386	RPLP1	2	15556000
Q01082	SPTBN1	33	15506000
P09525	ANXA4	10	15483000
P05091	ALDH2	16	15431000
P49368	CCT3	10	15294000
P61247	RPS3A	9	15230000
P68366	TUBA4A	19	15191000
P62249	RPS16	8	15166000
P13489	RNH1	15	15138000
Q15417	CNN3	4	15008000
P46782	RPS5	6	14807000
P00488	F13A1	12	14673000
Q99623	PHB2	10	14468000
P15880	RPS2	8	14444000
P08572	COL4A2	5	14350000
P15311	EZR	18	14294000
Q15185	PTGES3	4	14208000
P14174	MIF	2	14115000
O15144	ARPC2	7	14098000
P62277	RPS13	9	14004000
P23396	RPS3	15	13991000
Q13838	DDX39B	10	13959000
Q00325	SLC25A3	5	13947000
Q07960	ARHGAP1	11	13542000
P12429	ANXA3	14	13271000
P30050	RPL12	6	13173000
P30040	ERP29	8	13075000
O75083	WDR1	16	12582000
P13797	PLS3	16	12529000
P53621	COPA	16	12495000
P31146	CORO1A	9	12443000
P20700	LMNB1	12	12333000
P31943	HNRNPH1	7	12321000
P15153	RAC2	8	12277000
O15143	ARPC1B	9	12174000
P09972	ALDOC	8	12125000
P46781	RPS9	8	12054000
Q9H299	SH3BGRL3	3	12001000
Q14204	DYNC1H1	40	11912000
P48047	ATP5O	7	11833000
Q9ULV4	CORO1C	7	11685000
P34897	SHMT2	6	11448000
O60506	SYNCRIP	10	11422000
Q9P2E9	RRBP1	16	11336000
P00751	CFB	11	11203000
Q02543	RPL18A	5	11157000
Q9BXN1	ASPN	6	11152000
P50995	ANXA11	9	11090000
P51888	PRELP	9	11019000
P48735	IDH2	11	10899000
P49327	FASN	26	10717000
P62917	RPL8	4	10706000
Q92841	DDX17	10	10682000
O14773	TPP1	3	10630000
P35442	THBS2	13	10532000
Q08380	LGALS3BP	5	10515000
P24158	PRTN3	4	10465000
P14866	HNRNPL	8	10366000
P48643	CCT5	10	10112000
P11586	MTHFD1	15	10097000
P12956	XRCC6	15	10091000
P50914	RPL14	4	10085000
P69891	HBG1	7	10074000
Q12905	ILF2	8	10058000
Q9Y678	COPG1	17	9922400
P27348	YWHAQ	10	9903000
P62244	RPS15A	6	9884800
P52209	PGD	11	9877900
P62851	RPS25	4	9817900
P62753	RPS6	6	9767500
Q02790	FKBP4	13	9670400
Q16698	DECR1	9	9519700
P09211	GSTP1	5	9518000
P17987	TCP1	14	9333900
P60981	DSTN	5	9310500
P22234	PAICS	9	9148600
Q9NZ08	ERAP1	12	9099200
P68036	UBE2L3	3	9064900
P52597	HNRNPF	6	9060000
P43490	NAMPT	8	9045200
P40939	HADHA	19	9020000
Q14764	MVP	16	8900600
Q14152	EIF3A	11	8839200
P01903	HLA-DRA	5	8757700
Q96S66	CLCC1	1	8683400
P46776	RPL27A	5	8613000
Q14974	KPNB1	13	8593700
P39656	DDOST	6	8550200
P13010	XRCC5	14	8532700
Q9Y3Z3	SAMHD1	17	8477700
P55084	HADHB	11	8408400
P61160	ACTR2	9	8403000
P13804	ETFA	6	8402700
P62750	RPL23A	4	8397500
P02743	APCS	6	8332200
P20774	OGN	8	8323600
P10909	CLU	7	8282900
P30044	PRDX5	10	8264700
P60174	TPI1	8	8235800
P62263	RPS14	5	8196600
Q13263	TRIM28	10	8181900
P30153	PPP2R1A	13	8107300
P55145	MANF	6	8103200
P02747	C1QC	5	7976500
Q8N257	HIST3H2BB	5	7944100
Q9BSJ8	ESYT1	13	7885200
O60701	UGDH	11	7863000
P61313	RPL15	6	7751600
P53618	COPB1	13	7718000
P51911	CNN1	8	7632500
P62829	RPL23	5	7595000
P29590	PML	12	7586100
Q96TA1	FAM129B	12	7565300
Q09161	NCBP1	3	7510400
P32455	GBP1	6	7475700
Q9BRA2	TXNDC17	4	7460100
P53396	ACLY	14	7438300
P54136	RARS	15	7354400
P24534	EEF1B2	2	7340700
P14314	PRKCSH	6	7161100
Q08211	DHX9	14	7114600
P07741	APRT	6	7080800
Q99766	ATP5S	2	7068000
P38117	ETFB	6	6952900
P16615	ATP2A2	7	6910700
Q7KZF4	SND1	12	6788200
P78527	PRKDC	27	6775400
P52566	ARHGDIB	3	6752300
Q9Y6N5	SQRDL	10	6648300
P00505	GOT2	9	6641800
P31948	STIP1	11	6616500
O75947	ATP5H	6	6546600
Q14019	COTL1	6	6508500
P30626	SRI	5	6461100
Q99832	CCT7	12	6419100
P39060	COL18A1	7	6402300
P42766	RPL35	2	6278300
P31930	UQCRC1	6	6266200
P84098	RPL19	3	6220400
Q96QK1	VPS35	10	6191900
O14933	UBE2L6	1	6187900
P15088	CPA3	6	6077800
P47914	RPL29	2	6024100
Q99439	CNN2	6	6000700
P04216	THY1	3	5989500
P05155	SERPING1	7	5975600
P17980	PSMC3	9	5975600
P61970	NUTF2	4	5915000
P47755	CAPZA2	4	5894000
P51149	RAB7A	7	5885300
P30837	ALDH1B1	9	5851100
P62913	RPL11	3	5840800
P30085	CMPK1	6	5824100
P20591	MX1	8	5821400
O00592	PODXL	3	5778900
P37108	SRP14	3	5750300
P08246	ELANE	4	5717700
Q9BVK6	TMED9	3	5698300
Q16851	UGP2	7	5693000
P17655	CAPN2	6	5673200
P47756	CAPZB	5	5668900
Q9Y696	CLIC4	7	5636400
Q8NF91	SYNE1	1	5623700
P49207	RPL34	4	5554100
P62081	RPS7	6	5519700
P83731	RPL24	4	5484100
Q8WUM4	PDCD6IP	12	5480700
P21399	ACO1	9	5473400
P06454	PTMA	1	5468500
O00151	PDLIM1	5	5463400
Q8N163	CCAR2	9	5460100
P43307	SSR1	3	5436500
P61353	RPL27	4	5418200
P35268	RPL22	2	5397400
P30048	PRDX3	6	5394400
O15145	ARPC3	4	5355200
O00231	PSMD11	11	5332400
P28838	LAP3	7	5325300
P00387	CYB5R3	7	5290200
P43243	MATR3	7	5269300
Q53GQ0	HSD17B12	2	5246200
Q12906	ILF3	11	5228600
P07954	FH	7	5192600
Q9UQ80	PA2G4	7	5191100
Q8WX93	PALLD	11	5165900
