protein_id	gene_names	peptides	intensity
Q9Y6K5	OAS3	11	5163100
O75368	SH3BGRL	5	5118800
P25788	PSMA3	4	5110300
P28066	PSMA5	7	5066600
P42704	LRPPRC	14	5051800
P61981	YWHAG	8	5017200
Q96HC4	PDLIM5	9	4997600
P62269	RPS18	4	4994800
P01008	SERPINC1	6	4954200
Q16555	DPYSL2	12	4923600
Q6NZI2	PTRF	3	4901500
Q16658	FSCN1	6	4899100
P51571	SSR4	4	4869700
P46778	RPL21	1	4851600
P61254	RPL26	3	4794300
Q9Y265	RUVBL1	7	4775600
O00410	IPO5	11	4767700
P20073	ANXA7	10	4766700
P46777	RPL5	5	4765900
O43390	HNRNPR	12	4745600
P26583	HMGB2	6	4710100
Q13200	PSMD2	9	4706500
P32969	RPL9	5	4696300
Q9BQE3	TUBA1C	19	4694900
P24844	MYL9	7	4682400
P36542	ATP5C1	4	4657400
P60900	PSMA6	3	4642400
P13073	COX4I1	3	4629200
P40261	NNMT	4	4624800
Q92896	GLG1	6	4620400
P09960	LTA4H	10	4595600
P49748	ACADVL	13	4591700
P54819	AK2	3	4569400
P31939	ATIC	10	4569100
P51148	RAB5C	6	4535200
Q9NZN4	EHD2	9	4427600
P17096	HMGA1	2	4375500
P10109	FDX1	1	4358200
Q14690	PDCD11	3	4348900
P54727	RAD23B	8	4337800
P48444	ARCN1	9	4335400
P62304	SNRPE	1	4335400
P01889	HLA-B	6	4319900
Q03252	LMNB2	10	4311600
P55060	CSE1L	6	4264100
P30043	BLVRB	4	4260900
P14923	JUP	9	4246700
P11678	EPX	7	4158100
Q9BS26	ERP44	7	4155200
P02730	SLC4A1	6	4149400
O75131	CPNE3	5	4083200
P08195	SLC3A2	7	4035900
P00915	CA1	4	3984500
O60716	CTNND1	8	3963300
P51659	HSD17B4	7	3961600
P62136	PPP1CA	9	3956100
P00326	ADH1C	3	3931300
O15511	ARPC5	2	3871800
Q16891	IMMT	9	3870400
Q15019	SEPT2	6	3865200
P36551	CPOX	5	3859800
O00483	NDUFA4	4	3843900
P17301	ITGA2	9	3829800
P46779	RPL28	3	3818900
P50453	SERPINB9	10	3804600
P36957	DLST	5	3771800
P52565	ARHGDIA	3	3754500
Q13361	MFAP5	1	3751300
P38606	ATP6V1A	4	3728300
Q9NR12	PDLIM7	6	3701600
O95782	AP2A1	9	3687700
P35237	SERPINB6	5	3681200
O00303	EIF3F	4	3676900
P63010	AP2B1	9	3666600
P00352	ALDH1A1	8	3625100
P22307	SCP2	6	3615300
Q16543	CDC37	5	3608600
P30049	ATP5D	2	3586900
Q12907	LMAN2	6	3561400
O43175	PHGDH	5	3560800
P40222	TXLNA	1	3498700
Q8WUF5	PPP1R13L	2	3483500
P02746	C1QB	4	3474300
Q14847	LASP1	7	3461500
O75874	IDH1	8	3459700
P17844	DDX5	12	3457400
P19367	HK1	10	3456700
Q92973	TNPO1	11	3455700
Q07954	LRP1	12	3427800
P22695	UQCRC2	7	3426600
P62280	RPS11	5	3413500
O94788	ALDH1A2	2	3413100
P26373	RPL13	4	3408900
P16402	HIST1H1D	10	3391000
Q15691	MAPRE1	5	3311600
P04003	C4BPA	5	3267300
P41250	GARS	7	3265600
P12724	RNASE3	4	3261600
Q9NRL2	BAZ1A	1	3208200
P06756	ITGAV	6	3191000
Q9HC38	GLOD4	1	3187900
Q15181	PPA1	6	3176000
O00159	MYO1C	12	3164500
P49189	ALDH9A1	6	3145900
P62333	PSMC6	2	3139100
Q8TEQ8	PIGO	1	3129000
P23946	CMA1	8	3117400
Q15046	KARS	7	3107500
P04844	RPN2	7	3104600
P22102	GART	11	3098000
P55884	EIF3B	7	3087700
P52907	CAPZA1	4	3083000
P15121	AKR1B1	4	3071500
P62861	FAU	2	3065600
P35249	RFC4	2	3043000
Q99460	PSMD1	4	3037400
P61019	RAB2A	5	3031200
O43399	TPD52L2	3	3028900
P11413	G6PD	7	3022000
Q15437	SEC23B	3	3017800
P05455	SSB	5	3009200
P24539	ATP5F1	7	2985300
P61163	ACTR1A	5	2984800
Q9UJU6	DBNL	6	2981900
P63220	RPS21	3	2979700
Q9ULZ3	PYCARD	5	2979700
P00966	ASS1	3	2979600
Q13148	TARDBP	2	2959300
Q9UBU8	MORF4L1	1	2926800
P26640	VARS	12	2923900
P31150	GDI1	10	2919900
O60664	PLIN3	6	2907900
P16422	EPCAM	2	2898300
P84095	RHOG	3	2891700
P49458	SRP9	3	2877100
P56192	MARS	8	2876900
Q9NZD2	GLTP	1	2873600
Q02978	SLC25A11	5	2863500
P35754	GLRX	3	2852300
Q9Y617	PSAT1	7	2838900
Q9H223	EHD4	10	2837800
P31942	HNRNPH3	3	2814100
P54577	YARS	7	2811000
Q02818	NUCB1	1	2808500
Q9UPN3	MACF1	8	2804300
P14406	COX7A2	2	2786900
P01042	KNG1	7	2774400
P62266	RPS23	1	2758900
P08571	CD14	5	2741300
P56134	ATP5J2	2	2734400
Q01813	PFKP	11	2720800
Q99536	VAT1	5	2712000
Q9NVA2	SEPT11	4	2697000
P05026	ATP1B1	2	2692800
P12004	PCNA	6	2689500
P00491	PNP	7	2689100
Q9NZL9	MAT2B	3	2678400
Q16401	PSMD5	6	2677600
P62879	GNB2	8	2674700
P49411	TUFM	8	2667400
P09874	PARP1	8	2659800
P62857	RPS28	2	2656600
Q9NR45	NANS	4	2636800
Q9NR31	SAR1A	2	2631500
P60709	ACTB	23	2617700
