protein_id	gene_names	peptides	intensity
Q07020	RPL18	7	55890000
P30050	RPL12	7	55433000
P62826	RAN	11	55420000
P43490	NAMPT	20	54991000
Q9H299	SH3BGRL3	3	54696000
P37837	TALDO1	10	54301000
P54868	HMGCS2	18	54277000
P20700	LMNB1	20	54262000
O75874	IDH1	13	54114000
P00505	GOT2	17	53873000
P07858	CTSB	7	53730000
P04080	CSTB	5	53656000
P13010	XRCC5	20	53630000
P50990	CCT8	25	53071000
P29692	EEF1D	8	52948000
P68366	TUBA4A	21	52125000
P35232	PHB	10	52024000
P30048	PRDX3	7	51819000
Q05315	CLC	3	51698000
P51659	HSD17B4	19	51363000
P10599	TXN	6	51133000
Q86VP6	CAND1	22	51130000
P21291	CSRP1	9	50716000
P30153	PPP2R1A	18	49926000
P62269	RPS18	5	49843000
Q92841	DDX17	21	49712000
Q14974	KPNB1	23	49687000
O15143	ARPC1B	13	49222000
P62249	RPS16	8	48977000
P50991	CCT4	19	48922000
P23381	WARS	20	48849000
P78371	CCT2	22	48804000
Q16555	DPYSL2	20	48480000
Q53GQ0	HSD17B12	8	48336000
Q9Y676	MRPS18B	2	48335000
P62277	RPS13	7	48312000
P30085	CMPK1	9	48058000
P16422	EPCAM	6	47968000
P52272	HNRNPM	25	47925000
Q14103	HNRNPD	10	47910000
P49327	FASN	40	47698000
P62829	RPL23	6	47678000
Q08211	DHX9	33	47615000
P30084	ECHS1	11	47226000
Q9Y2Q3	GSTK1	9	47200000
P61160	ACTR2	11	47180000
P09622	DLD	9	46433000
Q99623	PHB2	10	46179000
Q13162	PRDX4	13	46091000
Q9BYZ8	REG4	7	46070000
P07585	DCN	11	46054000
P09972	ALDOC	8	45774000
P15153	RAC2	8	45719000
Q15366	PCBP2	7	44464000
O94832	MYO1D	33	44232000
O60716	CTNND1	22	44106000
P07384	CAPN1	21	44072000
P11766	ADH5	13	44032000
P28066	PSMA5	10	44018000
P35606	COPB2	27	43895000
Q16698	DECR1	11	43553000
Q99832	CCT7	24	43287000
P42765	ACAA2	18	43238000
P14854	COX6B1	7	43092000
P31946	YWHAB	10	42876000
P36542	ATP5C1	8	42872000
P62263	RPS14	7	42287000
P46781	RPS9	12	42243000
P50914	RPL14	5	42141000
P39019	RPS19	9	41911000
Q96KP4	CNDP2	16	41749000
P62280	RPS11	9	41536000
Q13838	DDX39B	14	41427000
P49189	ALDH9A1	15	41397000
P35237	SERPINB6	14	41323000
Q99795	GPA33	8	41254000
Q9Y3Z3	SAMHD1	24	41102000
P14314	PRKCSH	13	41061000
P08572	COL4A2	9	40992000
Q16836	HADH	8	40872000
P20674	COX5A	6	40607000
P17987	TCP1	21	40599000
Q14126	DSG2	20	40429000
P48643	CCT5	18	40408000
P50995	ANXA11	14	40348000
O75947	ATP5H	11	40113000
Q13011	ECH1	10	39967000
P39060	COL18A1	10	39735000
P31943	HNRNPH1	12	39644000
Q93052	LPP	18	39469000
O95340	PAPSS2	19	39389000
O15144	ARPC2	12	39281000
O75390	CS	13	39030000
P61586	RHOA	8	38862000
Q96BQ1	FAM3D	10	38816000
P14866	HNRNPL	14	38780000
Q96AG4	LRRC59	9	38768000
P00751	CFB	16	38749000
Q15181	PPA1	18	37891000
P63010	AP2B1	22	37803000
Q14651	PLS1	23	37716000
Q9H8H3	METTL7A	6	37496000
P04040	CAT	18	37050000
